Wavelength,OrangeII5,SunsetYellow5,Tartrazine5,Erioglycine5
298,0.028928788,0.028992663,0.0076244,0.014455032
299,0.029300416,0.02973614,0.006473212,0.014431437
300,0.030186359,0.030688709,0.006589523,0.015186812
301,0.030836861,0.031079129,0.005754517,0.015780515
302,0.030845217,0.031676191,0.005467435,0.015750919
303,0.031146252,0.032775714,0.005339922,0.015765649
304,0.031449971,0.033551893,0.005011326,0.016485183
305,0.031502461,0.033412422,0.004659251,0.016231866
306,0.031825268,0.034202228,0.004617319,0.016455916
307,0.032136088,0.034502989,0.004442542,0.016782326
308,0.03190563,0.034718013,0.004272462,0.016659916
309,0.031995555,0.035142294,0.004456296,0.016284999
310,0.032162735,0.03562875,0.00425077,0.016396741
311,0.032378649,0.035484309,0.003908033,0.016504132
312,0.032770445,0.035647935,0.00392869,0.016218972
313,0.03208035,0.035475998,0.004041448,0.016015313
314,0.031202929,0.036041799,0.004028465,0.015407857
315,0.030166762,0.035669087,0.004545888,0.014800393
316,0.029998352,0.035978908,0.004398356,0.014824917
317,0.028627269,0.035189683,0.004220401,0.013894287
318,0.027548644,0.034778367,0.004539611,0.013305423
319,0.026184601,0.034039791,0.004224478,0.012269456
320,0.024805747,0.032161033,0.004988863,0.012237942
321,0.022788882,0.031694087,0.00553776,0.010985704
322,0.021148365,0.029448847,0.005134344,0.010279403
323,0.019849499,0.028053737,0.00561111,0.009454277
324,0.018309215,0.026343182,0.005641471,0.008519134
325,0.017631009,0.024675493,0.005788429,0.008273135
326,0.016846245,0.023437415,0.006401528,0.007284978
327,0.015390813,0.020482135,0.005669946,0.006510115
328,0.014661458,0.019858052,0.006666258,0.005891932
329,0.013818553,0.01843707,0.007494382,0.005563591
330,0.012833438,0.016056466,0.006313259,0.005144919
331,0.012309262,0.016166274,0.00727236,0.004045883
332,0.012006459,0.015063965,0.007938901,0.004621976
333,0.011316572,0.014131842,0.008514924,0.003837174
334,0.011580917,0.013883807,0.009107518,0.003335489
335,0.01111889,0.01268641,0.009331566,0.004106245
336,0.011113345,0.01147182,0.008541292,0.003084798
337,0.010832158,0.011389171,0.00980587,0.003236702
338,0.010458593,0.010140292,0.009726249,0.003310249
