Site,Storm ID,Volume (liters),EG+PG (kg),Sample Start Date,Sample End Date,recordNo
CG,S65,2721249.29,2171.56,1/5/2008 17:50,1/9/2008 6:05,
CG,S66,2067130.05,1959.64,2/17/2008 3:26,2/18/2008 5:49,
CG,S67,63996.08,71.55,3/21/2008 5:58,3/22/2008 10:22,
CG,S68,996753.12,187.39,3/25/2008 6:51,3/27/2008 6:05,
CG,S69,368119.05,13.25,6/29/2008 1:43,6/29/2008 8:03,
CG,S70,164237.73,5.91,10/5/2008 15:03,10/5/2008 18:01,
CG,S71,644208.34,784.65,11/30/2008 15:32,12/1/2008 12:19,
CG,S72,157441.69,396.75,12/8/2008 15:45,12/9/2008 22:14,
CG,S73,11326.74,17.22,1/9/2009 5:59,1/9/2009 16:58,
CG,S74,87782.24,43.89,2/27/2009 6:29,2/27/2009 12:50,
CG,S75,144415.94,378.37,3/28/2009 19:06,3/29/2009 15:52,
CG,S76,95144.62,3.81,4/21/2009 7:22,4/21/2009 12:37,
CG,S77,338103.19,13.52,7/15/2009 4:19,7/15/2009 6:41,
CG,S78,240693.23,654.69,12/8/2009 9:37,12/9/2009 1:43,
CG,S79,2520199.65,3578.68,1/23/2010 14:29,1/25/2010 7:03,
CG,S80,39643.59,56.29,2/9/2010 2:46,2/10/2010 9:23,
CG,S81,651287.55,280.05,3/9/2010 15:32,3/11/2010 6:18,
CG,S82,31148.54,5.92,4/8/2010 5:24,4/8/2010 12:49,
CG,S83,424752.75,16.99,9/1/2010 3:15,9/1/2010 4:20,
CG,S84,79287.18,3.17,10/26/2010 5:54,10/26/2010 7:01,
CG,S84.1,411727,543.48,2/16/2011 14:14,2/18/2011 4:55,
CG,S88,269010.08,10.76,4/19/2011 18:50,4/19/2011 21:09,
CG,S89,566.34,0.06,8/30/2011 23:12,8/30/2011 23:21,
CG,S90,42815.08,10.28,12/30/2011 8:15,12/30/2011 10:30,
CG,S93,247092.83,158.14,1/23/2012 3:10,1/23/2012 12:53,
CG,S94,59691.92,17.31,3/2/2012 14:59,3/3/2012 10:34,
CG,S95,200370.03,8.01,7/18/2012 20:45,7/19/2012 1:27,
CG,S96,0,0,12/20/2012 16:52,12/21/2012 3:39,
CG,S98,0,0,1/28/2013 3:57,1/28/2013 10:03,
CG,S99,0,0,1/30/2013 13:17,1/30/2013 13:33,
CG,S100,0,0,2/7/2013 12:03,2/7/2013 12:16,
CG,S101,0,0,3/10/2013 3:52,3/10/2013 21:07,
CG,S102,0,0,4/14/2013 7:37,4/14/2013 8:35,
US,S05,1317299.862,47.42279503,12/10/1997 5:55,12/10/1997 20:20,
