STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901127 20:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901127 21:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901127 22:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901127 23:00,16, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901201 01:00,0,g, 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 00:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 01:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 02:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 04:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 05:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 06:00,6, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 07:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 08:00,7, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 09:00,9, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 10:00,10, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 11:00,7, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 12:00,6, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 13:00,5, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 14:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 15:00,5, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 16:00,5, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 17:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 18:00,10, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 19:00,8, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 20:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 21:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901203 22:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901204 01:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901215 00:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901215 01:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901215 02:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901215 03:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901215 06:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901215 07:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901215 08:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901215 09:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901215 10:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901215 11:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901215 13:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901215 15:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901215 16:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901217 12:00,8, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901217 13:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901217 14:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901217 15:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901217 16:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901217 17:00,13, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901217 18:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901217 19:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901221 15:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901221 16:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901221 18:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901222 00:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901222 02:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901228 19:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901228 20:00,7, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901228 21:00,9, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901228 22:00,10, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901228 23:00,10, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901229 00:00,7, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901229 01:00,5, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901229 02:00,9, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901229 03:00,8, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901229 04:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901229 05:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901229 06:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901229 07:00,7, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901229 08:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901229 09:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901230 07:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901230 08:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901230 09:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901230 11:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901230 12:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901230 13:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901230 16:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19910101 01:00,0,g, 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19910102 14:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19910102 15:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19910102 17:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19910102 18:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19910105 04:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19910105 05:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19910105 06:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19910105 07:00,6, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19910105 08:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19910105 09:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19910105 10:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19910105 11:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19910105 12:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19910105 13:00,1, , 
