#  RDB file created by NWIS qwflatout program on nwiswi at 06/02/2014 15:45:21
#
# AGNCY  Agency code
# BDATE  Begin date
# BTIME  Begin time
# EDATE  End date
# ETIME  End time
# MEDIM  Medium code
# PCODE  Parameter code
# REMRK  Remark code
# SAMPL  Record number
# SCMFL  Field sample comment
# STAID  Station number
# STYPE  Sample type code
# VALUE  Parameter value
# RPLEV  Reporting level
#
AGNCY	BDATE	BTIME	EDATE	ETIME	MEDIM	PCODE	REMRK	SAMPL	SCMFL	STAID	STYPE	VALUE	RPLEV
10S	10S	10S	10D	10S	10S	10S	10S	10S	50S	20S	10S	10N	10S
USGS	20010129	0645	20010129	1355	WS	00605		00101057	CG-S27	040871476	9	12	
USGS	20010129	0645	20010129	1355	WS	00608		00101057	CG-S27	040871476	9	.749	
USGS	20010129	0645	20010129	1355	WS	00625		00101057	CG-S27	040871476	9	13	
USGS	20010129	0645	20010129	1355	WS	00939		00101057	CG-S27	040871476	9	2000	
USGS	20010129	0645	20010129	1355	WS	71846		00101057	CG-S27	040871476	9	.965	
USGS	20010129	0645	20010129	1355	WS	82398		00101057	CG-S27	040871476	9	50	
USGS	20010129	0645	20010129	1355	WS	90095		00101057	CG-S27	040871476	9	6710	
USGS	20010129	0645	20010129	1355	WS	91075	<	00101057	CG-S27	040871476	9	18.0	
USGS	20010129	0645	20010129	1355	WS	91080		00101057	CG-S27	040871476	9	9600	
USGS	20010129	0645	20010129	1355	WS	99220		00101057	CG-S27	040871476	9	340	
USGS	20010129	0645	20010129	1355	WS	99904		00101057	CG-S27	040871476	9	5.1	
USGS	20010224	0619	20010224	1327	WS	00028		00101058	CG-S28	040871476	9	85543	
USGS	20010224	0619	20010224	1327	WS	00310	>	00101058	CG-S28	040871476	9	1040	
USGS	20010224	0619	20010224	1327	WS	00335		00101058	CG-S28	040871476	9	5000	
USGS	20010224	0619	20010224	1327	WS	00403		00101058	CG-S28	040871476	9	7.5	
USGS	20010224	0619	20010224	1327	WS	00417		00101058	CG-S28	040871476	9	414	
USGS	20010224	0619	20010224	1327	WS	00605		00101058	CG-S28	040871476	9	3.8	
USGS	20010224	0619	20010224	1327	WS	00608		00101058	CG-S28	040871476	9	.442	
USGS	20010224	0619	20010224	1327	WS	00625		00101058	CG-S28	040871476	9	4.3	
USGS	20010224	0619	20010224	1327	WS	00939		00101058	CG-S28	040871476	9	420	
USGS	20010224	0619	20010224	1327	WS	71846		00101058	CG-S28	040871476	9	.569	
