STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
726400,14839, 19910121,   13.2,24,    3.6,24, 1019.6,24, 9999.9, 0,  10.5,24,  13.3,24,  18.1, 999.9,   19.0*,   7.0*, 0.09G,  3.9, 000000,
726400,14839, 19910122,    6.0,24,   -5.4,24, 1018.1,24, 9999.9, 0,  13.2,24,  10.7,24,  18.1, 999.9,   16.0*,  -2.9*, 0.00G,  3.1, 000000,
726400,14839, 19910123,   23.2,24,   14.6,24, 1004.4,24, 9999.9, 0,   7.4,24,  18.6,24,  22.0,  32.1,   32.0*,  15.1*, 0.03G,  3.1, 001000,
726400,14839, 19910124,    9.3,24,   -3.0,24, 1022.1,24, 9999.9, 0,  13.7,24,  12.2,24,  15.9, 999.9,   15.1*,   3.9*, 0.00G,  3.1, 000000,
726400,14839, 19910125,    4.3,24,  -11.4,24, 1030.8,24, 9999.9, 0,  14.8,24,   9.1,24,  12.0, 999.9,   12.9*,  -2.9*, 0.00G,  3.1, 000000,
726400,14839, 19910126,    8.3,24,   -2.6,24, 1021.2,24, 9999.9, 0,  10.9,24,  13.5,24,  20.0, 999.9,   21.0*,   1.9*, 0.00G,  3.1, 000000,
726400,14839, 19910127,   17.9,24,    9.4,24, 1007.9,24, 9999.9, 0,   9.7,24,  14.7,24,  18.1, 999.9,   27.0*,  12.9*, 0.00G,  3.1, 000000,
726400,14839, 19910128,   24.2,24,   15.1,24, 1008.8,24, 9999.9, 0,  10.6,24,  14.1,24,  18.1, 999.9,   34.0*,  18.0*, 0.00G,  3.1, 000000,
726400,14839, 19910129,   17.1,24,    5.9,24, 1020.9,24, 9999.9, 0,   9.3,24,  10.3,24,  14.0, 999.9,   27.0*,  12.9*, 0.01G,  2.8, 001000,
726400,14839, 19910130,    8.7,24,   -4.6,24, 1018.8,24, 9999.9, 0,  10.4,24,   8.8,24,  11.1, 999.9,   16.0*,   0.0*, 0.02G,  2.0, 000000,
726400,14839, 19910131,   13.3,24,    2.7,24, 1022.4,24, 9999.9, 0,   9.9,24,  13.9,24,  22.0, 999.9,   19.9*,   9.0*, 0.00G,  2.0, 000000,
726400,14839, 19910201,   21.1,24,   12.0,24, 1028.5,24, 9999.9, 0,   9.0,24,   4.6,24,  13.0, 999.9,   36.0*,  12.9*, 0.00G,  2.0, 000000,
726400,14839, 19910202,   34.3,24,   26.1,24, 1023.6,24, 9999.9, 0,   6.1,24,   7.4,24,  10.1, 999.9,   46.0*,  26.1*, 0.00G,  1.2, 000000,
726400,14839, 19910203,   40.8,24,   29.7,24, 1022.2,24, 9999.9, 0,   8.0,24,  12.6,24,  17.1, 999.9,   48.9*,  36.0*, 0.00G,  1.2, 000000,
726400,14839, 19910204,   42.4,24,   32.1,24, 1018.0,24, 9999.9, 0,   9.3,24,  12.7,24,  15.9, 999.9,   48.0*,  39.0*, 0.00G,  0.4, 000000,
726400,14839, 19910205,   37.9,24,   33.3,24, 1021.9,24, 9999.9, 0,   5.4,24,   8.5,24,  13.0, 999.9,   42.1*,  34.0*, 0.00G,  0.4, 100000,
726400,14839, 19910206,   35.0,24,   34.3,24, 1025.8,24, 9999.9, 0,   0.9,24,   9.3,24,  14.0, 999.9,   37.0*,  34.0*, 0.00G,  0.4, 100000,
726400,14839, 19910207,   34.6,24,   32.5,24, 1025.5,24, 9999.9, 0,   3.2,24,   7.9,24,  13.0, 999.9,   39.0*,  32.0*, 0.00G,  0.4, 100000,
726400,14839, 19910208,   37.1,24,   29.2,24, 1021.5,24, 9999.9, 0,   7.6,24,   9.9,24,  15.9, 999.9,   50.0*,  30.0*, 0.00G,999.9, 000000,
726400,14839, 19910209,   36.9,24,   30.4,24, 1016.3,24, 9999.9, 0,   8.5,24,  10.3,24,  15.9, 999.9,   41.0*,  33.1*, 0.00G,999.9, 000000,
726400,14839, 19910210,   31.5,24,   11.7,24, 1017.6,24, 9999.9, 0,  14.2,24,  10.3,24,  18.1, 999.9,   36.0*,  26.1*, 0.00G,999.9, 000000,
